OrderID,UserID,OrderStatus,TotalAmount,CreatedAt
55,236,delivered,552.55,2024-09-30 18:33:28
56,349,pending,5625.63,2024-09-10 19:56:39
57,391,dispatched,2983.96,2024-10-24 19:27:09
58,408,pending,4462.08,2024-06-24 23:06:24
59,248,dispatched,6258.02,2024-05-06 18:15:53
60,453,dispatched,1522.49,2024-09-22 17:28:17
61,25,pending,8461.86,2025-04-04 05:23:52
62,27,pending,1988.41,2024-10-27 23:15:46
63,195,pending,9525.87,2024-12-03 15:02:29
64,40,delivered,6917.29,2025-01-20 17:12:58
65,132,pending,2083.27,2024-08-28 08:11:55
66,247,pending,5318.75,2024-11-25 08:02:45
67,438,delivered,9186.67,2025-01-08 10:51:28
68,366,dispatched,1213.63,2024-04-27 16:28:28
69,28,delivered,3906.45,2025-02-16 01:48:33
70,442,dispatched,3660.66,2024-10-25 20:13:38
71,96,dispatched,7645.08,2025-04-07 23:17:58
72,395,pending,1040.62,2025-01-09 15:25:24
73,374,pending,7364.12,2024-06-16 20:14:40
74,285,pending,5384.03,2024-05-22 05:25:08
75,395,pending,9984.08,2024-08-07 13:50:19
76,461,pending,6329.65,2024-05-17 01:14:25
77,57,pending,3292.79,2025-04-21 18:04:03
78,111,dispatched,2487.24,2024-12-05 08:52:12
79,126,delivered,2710.69,2024-10-14 23:10:39
80,339,delivered,1627.47,2024-05-22 06:24:35
81,343,dispatched,3331.37,2024-11-19 04:36:17
82,288,pending,2069.93,2024-08-01 10:35:26
83,36,delivered,4524.42,2025-01-24 04:53:52
84,68,dispatched,1344.91,2025-01-02 02:31:51
85,72,delivered,2050.21,2024-10-04 22:23:22
86,119,delivered,3384.96,2025-02-23 02:37:31
87,111,delivered,7589.66,2025-04-13 15:53:54
88,389,dispatched,2741.93,2024-10-10 20:04:19
89,184,pending,2276.38,2024-04-13 10:28:34
90,422,dispatched,514.32,2024-08-27 09:13:58
91,345,delivered,6383.92,2024-05-27 16:38:39
92,307,pending,1554.73,2025-01-06 14:57:05
93,105,dispatched,2129.34,2024-05-13 14:11:38
94,334,delivered,2248.65,2025-01-05 18:18:20
95,130,delivered,4113.29,2025-02-15 06:13:26
96,181,delivered,8117.56,2024-06-25 23:29:03
97,205,pending,9603.98,2024-07-11 04:51:28
98,377,pending,3776.23,2025-02-26 01:24:58
99,142,pending,6578.31,2025-01-06 00:16:38
100,490,delivered,3724.53,2025-03-14 01:00:25
101,200,pending,6343.04,2024-09-01 09:43:38
102,320,pending,8342.6,2024-06-16 13:59:41
103,96,dispatched,8378.47,2024-12-10 22:00:23
104,41,pending,5006.24,2024-07-27 19:54:49
105,194,delivered,3067.5,2024-10-13 22:42:47
106,269,pending,5302.97,2024-09-11 01:57:38
107,448,dispatched,7988.31,2025-01-26 15:06:47
108,23,delivered,5189.57,2024-10-10 03:33:16
109,150,dispatched,3893.56,2024-07-06 21:02:14
110,454,pending,2654.29,2024-11-26 01:11:08
111,498,delivered,5830.34,2024-08-15 16:53:35
112,425,dispatched,5878.98,2025-04-10 00:03:38
113,429,delivered,9522.45,2024-09-02 03:40:24
114,185,delivered,9469.02,2025-04-18 02:34:07
115,11,dispatched,587.94,2024-08-09 18:46:08
116,121,dispatched,728.59,2024-07-12 04:54:01
117,500,dispatched,340.87,2025-01-11 22:48:31
118,273,pending,9909.55,2024-04-05 07:17:01
119,151,delivered,4129.64,2024-10-22 17:37:10
120,251,delivered,1175.53,2024-05-15 09:34:37
121,120,delivered,4321.58,2024-04-26 23:32:56
122,1,pending,5445.64,2024-05-22 03:41:34
123,341,dispatched,2597.05,2024-11-02 22:55:31
124,122,delivered,7838.02,2024-04-25 14:13:41
125,13,dispatched,9148.72,2024-07-26 05:48:51
126,412,delivered,1809.17,2024-04-05 15:23:06
127,371,pending,9417.95,2025-03-01 01:57:44
128,445,pending,5843.88,2024-04-08 20:23:03
129,259,delivered,6203.83,2024-04-04 03:45:29
130,299,delivered,2955.86,2024-09-17 07:14:04
131,225,dispatched,4453.29,2024-07-23 17:26:39
132,123,delivered,1036.68,2024-11-18 10:13:45
133,328,pending,7358.09,2024-05-18 00:24:47
134,80,delivered,654.22,2024-12-24 10:47:57
135,465,delivered,4512.51,2024-12-01 12:53:30
136,338,pending,5383.35,2024-06-18 01:49:33
137,197,dispatched,5622.08,2024-12-27 20:59:11
138,289,dispatched,7136.27,2025-02-15 03:21:00
139,486,pending,9685.24,2024-04-01 19:04:54
140,145,dispatched,1497.76,2025-04-25 23:47:38
141,480,pending,4189.79,2025-03-03 19:51:32
142,430,delivered,4531.46,2024-05-23 04:55:19
143,105,delivered,5553.11,2024-09-04 08:18:07
144,80,dispatched,4904.43,2024-08-07 15:34:35
145,164,pending,5257.93,2024-08-27 15:09:29
146,19,pending,8336.83,2025-03-03 14:54:34
147,272,delivered,2705.19,2025-01-15 17:11:25
148,477,pending,7485.54,2024-04-24 19:20:04
149,471,delivered,5392.32,2024-11-09 05:32:59
150,451,delivered,6209.36,2025-04-01 13:38:19
151,396,delivered,5125.63,2025-01-31 04:02:56
152,457,dispatched,5522.67,2025-04-20 20:41:02
153,98,pending,6837.18,2024-08-15 22:37:21
154,488,delivered,1937.37,2024-04-29 22:01:02
155,58,dispatched,6064.3,2024-07-17 04:21:18
156,75,dispatched,4868.84,2025-04-08 18:24:12
157,32,delivered,1277.79,2025-01-11 11:51:58
158,399,pending,9037.17,2024-04-29 19:18:34
159,117,delivered,9264.77,2024-08-28 07:30:12
160,44,delivered,5728.23,2025-04-25 04:07:58
161,390,pending,4548.43,2025-03-30 14:00:23
162,426,dispatched,6572.4,2025-01-21 01:29:08
163,187,pending,8302.23,2025-03-21 00:52:05
164,304,dispatched,3589.12,2024-12-27 10:56:32
165,499,pending,6670.63,2024-07-17 22:42:45
166,466,dispatched,7062.36,2024-04-10 02:45:28
167,258,dispatched,521.38,2024-04-17 16:13:33
168,498,dispatched,4763.61,2025-04-12 02:03:31
169,171,dispatched,5654.01,2025-01-07 03:41:46
170,492,dispatched,9640.59,2024-10-13 15:42:27
171,97,pending,2096.07,2024-09-03 21:11:05
172,396,pending,2890.57,2025-01-18 15:28:16
173,316,pending,8186.39,2024-11-09 07:06:52
174,44,dispatched,5504.63,2024-06-19 14:08:58
175,272,pending,6286.12,2024-10-08 22:08:10
176,427,delivered,1207.45,2024-07-05 13:51:33
177,421,dispatched,8247.22,2024-06-24 13:33:09
178,215,pending,1581.85,2025-03-12 04:50:35
179,297,dispatched,5576.83,2025-01-31 18:43:42
180,428,delivered,5319.85,2024-12-26 03:47:31
181,204,dispatched,5428.74,2024-09-14 08:47:53
182,238,pending,2618.12,2024-08-31 08:36:14
183,358,pending,7905.63,2024-04-29 04:43:04
184,290,dispatched,2350.22,2024-08-03 14:07:41
185,250,dispatched,6517.61,2024-10-10 10:40:46
186,198,pending,7499.13,2024-06-26 14:22:24
187,233,dispatched,9480.02,2024-04-29 23:15:44
188,15,pending,7105.49,2025-04-23 21:31:50
189,174,dispatched,8689.07,2025-01-14 13:18:13
190,374,delivered,3798.44,2024-07-10 13:58:38
191,463,delivered,5430.4,2025-02-07 06:52:36
192,341,pending,8333.6,2025-01-14 07:37:57
193,185,pending,5555.25,2024-11-12 03:41:50
194,172,pending,3390.77,2024-08-27 19:27:01
195,267,delivered,5702.3,2024-09-24 16:50:20
196,372,delivered,6863.38,2024-10-29 10:37:08
197,387,pending,1838.59,2025-04-13 20:24:06
198,372,pending,3810.98,2024-08-31 21:47:25
199,452,pending,2563.96,2024-07-02 11:57:50
200,17,delivered,7713.31,2024-09-20 10:57:46
201,234,delivered,1864.53,2024-09-30 15:20:48
202,148,dispatched,5692.32,2025-01-21 23:06:18
203,91,pending,4318.75,2024-12-27 18:45:55
204,97,pending,2573.38,2025-01-12 18:05:15
205,4,pending,4894.21,2024-11-19 18:14:34
206,199,pending,5307.72,2024-04-06 22:49:23
207,265,pending,6452.83,2024-09-01 14:43:13
208,94,dispatched,7474.95,2025-01-11 02:57:38
209,126,pending,2216.68,2024-08-01 23:29:38
210,182,dispatched,6974.48,2024-11-07 20:29:11
211,58,dispatched,6423.9,2024-12-03 06:09:37
212,123,dispatched,4905.23,2024-05-16 03:15:25
213,269,dispatched,7842.97,2024-06-24 18:15:55
214,153,dispatched,6841.79,2024-08-23 12:40:48
215,94,dispatched,886.79,2024-11-03 06:57:05
216,448,dispatched,703.93,2024-12-22 09:09:38
217,420,dispatched,860.59,2025-02-22 10:22:03
218,22,delivered,7361.69,2024-11-07 20:06:19
219,386,dispatched,9196.84,2024-11-18 01:10:55
220,360,dispatched,1961.1,2025-03-15 00:56:19
221,12,dispatched,1815.19,2025-03-20 15:02:13
222,16,delivered,4546.48,2025-01-18 21:32:56
223,418,delivered,4427.15,2024-08-23 19:37:34
224,416,pending,7983.31,2024-08-28 21:22:15
225,497,dispatched,9704.56,2024-04-22 08:02:33
226,9,pending,9629.94,2024-10-14 12:03:44
227,149,dispatched,4264.07,2025-01-20 02:16:26
228,147,pending,4107.25,2025-03-12 23:10:07
229,258,dispatched,4755.04,2024-05-09 23:46:10
230,51,dispatched,1031.27,2024-10-04 04:57:15
231,416,pending,2147.63,2024-12-09 16:57:10
232,364,pending,360.29,2024-10-19 13:23:24
233,123,dispatched,3896.86,2025-04-04 10:38:13
234,401,delivered,637.4,2024-04-15 03:10:46
235,29,delivered,3986.04,2025-02-14 21:43:24
236,371,delivered,1572.33,2024-04-11 23:33:15
237,41,delivered,4275.71,2024-09-30 06:16:23
238,99,delivered,9522.04,2025-04-21 19:08:09
239,184,dispatched,5550.43,2024-06-19 04:39:36
240,485,dispatched,8593.96,2024-12-25 19:56:39
241,188,pending,547.68,2024-12-08 03:30:20
242,354,dispatched,2959.65,2024-10-13 21:00:58
243,314,dispatched,523.03,2024-04-18 18:42:33
244,113,pending,458.43,2024-10-25 15:00:13
245,431,pending,5722.91,2024-08-01 06:42:13
246,323,delivered,9809.67,2024-11-01 02:41:49
247,318,delivered,8349.65,2024-08-08 01:43:40
248,325,dispatched,7848.13,2025-04-12 12:28:01
249,130,pending,7346.29,2024-06-16 11:14:08
250,352,dispatched,7076.37,2025-01-21 00:34:50
251,309,dispatched,7625.2,2024-06-25 06:51:10
252,337,pending,2792.82,2025-04-09 18:12:59
253,20,dispatched,6080.87,2024-10-25 11:23:24
254,75,dispatched,8461.4,2024-08-27 05:53:23
255,215,pending,3962.44,2025-01-21 12:17:11
256,472,delivered,4624.81,2024-04-01 17:49:06
257,21,dispatched,4868.33,2024-07-10 10:38:04
258,414,pending,4675.82,2024-07-19 08:11:07
259,234,delivered,9828.75,2024-04-24 12:04:47
260,178,dispatched,2934.27,2025-03-22 22:45:38
261,45,pending,863.44,2025-03-27 08:45:16
262,231,dispatched,1488.74,2024-08-27 00:55:42
263,123,dispatched,2610.57,2024-10-01 09:44:38
264,297,delivered,2737.98,2025-02-20 00:16:06
265,157,dispatched,7812.43,2024-09-12 09:04:46
266,191,delivered,2275.23,2024-05-11 03:55:48
267,50,dispatched,760.57,2024-07-03 00:31:47
268,332,delivered,3945.08,2024-08-25 02:47:15
269,321,pending,2981.68,2024-05-18 06:42:24
270,64,delivered,1383.08,2024-07-31 21:59:41
271,27,dispatched,6489.9,2024-04-07 07:03:53
272,310,dispatched,8426.5,2025-03-03 12:44:34
273,443,pending,3711.48,2024-11-18 02:28:20
274,441,delivered,9371.52,2025-02-05 01:50:56
275,316,delivered,1033.76,2024-12-05 02:17:08
276,362,dispatched,5666.65,2024-11-29 05:51:41
277,217,dispatched,3200.43,2024-11-24 08:18:22
278,362,dispatched,3936.81,2025-02-17 03:12:19
279,492,delivered,4354.12,2024-08-19 14:46:44
280,211,pending,2707.75,2024-09-14 18:02:09
281,325,delivered,4486.95,2024-04-22 08:49:12
282,302,delivered,4315.17,2025-04-25 13:16:50
283,312,pending,7596.76,2024-05-23 08:22:29
284,170,delivered,3552.27,2024-11-01 07:57:55
285,42,pending,6052.84,2024-09-02 08:58:30
286,475,dispatched,7984.63,2024-06-07 08:28:35
287,446,pending,2447.68,2024-08-30 17:08:24
288,149,delivered,6876.86,2024-11-26 09:46:32
289,149,pending,2585.53,2025-01-15 02:25:45
290,351,dispatched,992.84,2024-12-18 14:26:49
291,323,delivered,8942.49,2025-03-23 05:11:08
292,27,dispatched,5595.61,2024-10-01 22:36:58
293,10,dispatched,2554.61,2024-10-13 19:44:33
294,450,pending,363.55,2024-07-20 23:42:40
295,373,pending,2662.99,2025-02-21 14:51:12
296,299,delivered,5928.81,2025-01-12 04:45:30
297,153,delivered,6583.4,2024-04-05 14:32:06
298,69,pending,8042.13,2024-09-21 21:51:20
299,123,dispatched,9423.67,2024-08-07 01:48:50
300,302,dispatched,7305.52,2024-09-04 11:29:43
301,81,delivered,5724.28,2024-11-05 03:06:26
302,167,delivered,3162.54,2024-04-11 00:27:51
303,429,delivered,3527.2,2024-07-06 20:20:16
304,243,delivered,6743.08,2024-08-19 15:03:50
305,2,dispatched,2961.71,2025-03-12 08:56:07
306,422,dispatched,2046.79,2024-10-28 08:04:48
307,349,pending,1289.2,2024-07-29 03:20:37
308,90,pending,1137.41,2024-05-05 00:20:37
309,12,delivered,8316.41,2024-12-30 14:40:28
310,440,dispatched,8708.6,2024-08-31 14:16:48
311,399,pending,6769.42,2024-04-24 17:21:08
312,387,dispatched,7090.69,2025-01-25 13:05:18
313,370,dispatched,2546.08,2024-08-19 09:29:16
314,267,dispatched,1590.91,2024-06-27 00:43:35
315,455,delivered,5973.73,2024-04-04 16:21:38
316,454,delivered,7815.07,2024-12-19 12:11:38
317,481,delivered,3634.62,2024-11-29 14:06:21
318,257,dispatched,6185.07,2025-02-20 00:30:01
319,454,pending,3454.56,2024-05-09 20:15:59
320,331,pending,4655.48,2024-06-19 18:30:19
321,458,delivered,6357.42,2024-08-29 15:36:54
322,457,dispatched,8165.87,2024-04-14 02:52:35
323,224,pending,9247.64,2024-04-26 04:48:26
324,439,pending,9426.72,2024-06-22 03:18:21
325,300,pending,9540.5,2025-01-21 20:41:50
326,395,pending,4098.18,2024-11-14 05:17:53
327,79,pending,3304.32,2024-08-04 00:42:09
328,59,pending,1458.65,2024-06-17 11:06:42
329,85,dispatched,7353.76,2024-06-28 18:02:00
330,312,delivered,7411.09,2025-04-16 05:19:09
331,48,delivered,4841.28,2025-03-31 05:47:20
332,406,dispatched,7245.48,2025-04-03 16:23:53
333,343,dispatched,6325.24,2024-12-03 08:43:17
334,372,delivered,2494.35,2024-10-30 20:08:11
335,392,dispatched,6846.69,2025-02-28 22:53:54
336,213,delivered,8848.52,2024-07-13 00:10:18
337,135,delivered,6199.02,2024-11-22 11:53:20
338,500,pending,7083.9,2024-07-07 22:40:28
339,342,dispatched,9823.62,2024-08-15 09:49:01
340,20,pending,8590.34,2024-06-15 18:55:53
341,210,dispatched,8230.32,2024-06-09 15:59:49
342,213,dispatched,2577.07,2025-04-03 15:19:07
343,348,pending,4800.3,2024-06-19 14:43:59
344,25,pending,1374.58,2024-08-26 23:01:11
345,127,pending,5430.56,2025-03-19 10:10:37
346,222,pending,7167.32,2025-02-08 20:12:33
347,214,delivered,3221.8,2024-11-13 19:57:09
348,47,dispatched,3622.53,2024-09-23 04:12:48
349,293,dispatched,7541.81,2025-01-27 03:27:56
350,299,delivered,6883.36,2024-09-29 23:52:45
351,288,delivered,6998.54,2024-05-08 09:17:45
352,115,pending,7417.04,2025-03-14 13:54:54
353,399,dispatched,9964.66,2024-11-06 05:11:09
354,463,delivered,4934.8,2024-04-10 23:09:11
355,400,dispatched,5536.23,2024-12-31 08:56:05
356,397,dispatched,2689.59,2024-10-21 11:13:36
357,450,delivered,789.23,2024-05-22 07:25:37
358,63,delivered,5698.32,2024-12-25 23:08:28
359,210,delivered,3396.52,2025-02-14 11:50:17
360,347,dispatched,7125.18,2025-01-06 10:28:45
361,268,delivered,9727.32,2024-04-14 23:56:43
362,113,delivered,5074.87,2024-12-21 17:33:21
363,395,delivered,5067.11,2024-06-10 17:47:12
364,18,dispatched,3756.07,2024-07-20 10:34:29
365,450,dispatched,818.8,2024-05-31 22:50:57
366,90,delivered,3223.39,2024-12-21 12:38:05
367,287,pending,8079.55,2024-05-02 20:56:13
368,284,pending,2892.76,2025-04-07 04:06:12
369,443,delivered,1145.72,2025-04-10 08:38:00
370,183,pending,395.23,2024-06-30 01:30:03
371,233,dispatched,5732.83,2024-12-05 06:46:02
372,134,dispatched,8371.64,2024-12-17 11:56:18
373,187,dispatched,5552.65,2024-12-27 23:00:03
374,192,dispatched,9866.79,2024-11-20 01:14:12
375,402,dispatched,3134.85,2024-10-12 19:03:31
376,495,delivered,7685.22,2024-10-23 02:13:43
377,367,delivered,5173.36,2024-07-14 21:04:50
378,200,delivered,7054.96,2025-04-12 21:07:15
379,66,delivered,8810.55,2025-01-23 00:59:33
380,289,pending,5624.54,2024-11-02 23:17:06
381,246,delivered,9360.73,2024-06-16 07:48:27
382,94,delivered,9463.86,2025-03-10 08:12:48
383,320,delivered,399.27,2024-05-05 20:41:18
384,345,pending,6456.68,2024-04-24 18:49:49
385,343,pending,7366.62,2024-10-07 04:18:33
386,428,pending,8294.83,2025-04-07 08:02:54
387,238,pending,6879.83,2024-04-08 16:07:30
388,81,pending,2474.04,2024-10-05 20:22:43
389,361,pending,7109.06,2025-02-21 01:50:37
390,440,delivered,9121.41,2024-12-06 09:35:20
391,8,pending,2871.21,2024-11-20 18:28:42
392,203,dispatched,1977.0,2024-10-16 04:14:21
393,15,delivered,909.39,2024-07-30 19:26:17
394,37,pending,6166.57,2024-06-13 07:46:17
395,338,delivered,7767.84,2025-03-07 13:55:45
396,81,delivered,1295.89,2025-03-10 17:05:55
397,376,pending,2587.6,2024-10-19 14:18:20
398,306,pending,2665.37,2024-08-26 17:41:45
399,131,dispatched,4775.98,2024-09-02 18:14:08
400,376,dispatched,4442.82,2024-05-31 05:42:51
401,160,dispatched,5006.35,2025-03-30 02:21:58
402,393,dispatched,707.48,2024-10-04 16:28:37
403,205,delivered,1886.39,2025-03-24 13:39:10
404,254,dispatched,3965.25,2024-07-28 02:43:09
405,345,pending,3061.56,2024-11-23 20:01:35
406,245,dispatched,8004.93,2024-12-27 10:40:12
407,237,delivered,8415.44,2025-01-26 11:37:06
408,3,dispatched,3843.47,2024-05-17 03:51:06
409,55,dispatched,5145.35,2025-04-10 06:06:51
410,387,dispatched,8613.4,2025-04-06 11:35:19
411,96,delivered,8864.15,2024-09-28 15:56:36
412,218,pending,7911.94,2025-02-23 05:07:38
413,400,dispatched,8025.41,2024-11-07 02:44:31
414,295,delivered,4259.72,2024-06-03 04:51:10
415,57,dispatched,3338.57,2024-08-10 12:52:34
416,96,pending,7336.33,2024-08-06 18:35:29
417,144,pending,9535.82,2024-08-18 21:41:36
418,195,dispatched,9308.29,2025-02-10 21:09:40
419,445,dispatched,2816.07,2024-05-26 18:00:12
420,120,delivered,2058.19,2024-12-23 19:16:41
421,432,pending,9778.54,2024-12-08 10:00:28
422,426,delivered,9965.71,2024-08-24 04:58:22
423,239,delivered,7988.02,2024-06-12 08:13:06
424,100,pending,5795.62,2024-06-27 22:29:18
425,330,dispatched,287.37,2024-06-20 21:43:30
426,287,dispatched,878.51,2025-04-22 10:05:06
427,123,pending,8665.29,2024-08-11 23:17:27
428,198,delivered,2660.1,2024-11-13 03:10:36
429,232,delivered,3763.36,2024-09-12 01:36:48
430,233,dispatched,4055.8,2024-10-14 20:04:30
431,276,pending,6439.6,2025-04-21 03:52:13
432,411,pending,6672.65,2025-03-05 00:35:06
433,429,dispatched,7430.06,2024-06-24 05:14:08
434,321,pending,4087.87,2025-01-21 00:18:17
435,274,dispatched,5783.41,2025-01-01 07:01:12
436,222,delivered,341.18,2024-08-28 14:31:41
437,493,pending,791.33,2024-09-23 19:27:17
438,306,delivered,1713.27,2024-10-23 02:29:32
439,451,delivered,7919.01,2024-11-16 13:27:01
440,474,dispatched,9627.27,2024-10-09 15:13:30
441,138,dispatched,3425.13,2024-11-19 03:56:26
442,467,pending,5482.96,2024-12-04 18:10:34
443,45,dispatched,9558.07,2024-08-03 21:18:12
444,408,delivered,9993.16,2024-07-12 09:49:13
445,34,dispatched,4352.45,2025-03-02 20:23:17
446,456,dispatched,9461.58,2024-11-17 14:45:32
447,63,pending,942.25,2024-12-10 22:54:01
448,486,delivered,7559.83,2024-09-18 21:16:31
449,33,dispatched,7304.65,2024-09-08 20:31:10
450,486,dispatched,9310.12,2024-06-18 23:30:06
451,359,dispatched,7642.89,2024-08-31 04:47:18
452,263,dispatched,638.32,2024-05-22 22:58:45
453,235,dispatched,1592.95,2024-04-28 19:59:46
454,323,pending,1281.41,2024-05-26 17:52:08
455,168,delivered,5720.28,2024-04-23 10:57:41
456,80,pending,1014.0,2024-11-07 02:35:52
457,360,pending,8334.16,2025-01-28 17:10:05
458,453,pending,2478.07,2024-07-19 04:25:30
459,133,pending,3156.88,2024-04-06 00:03:44
460,336,dispatched,8078.11,2024-11-01 10:10:35
461,111,delivered,505.2,2025-04-21 00:51:57
462,363,dispatched,7360.25,2025-03-20 09:26:36
463,62,pending,4823.96,2025-04-23 07:53:27
464,78,delivered,1186.68,2025-03-04 08:33:02
465,336,delivered,2867.81,2025-03-09 11:15:40
466,55,delivered,8782.0,2025-01-19 03:24:23
467,333,delivered,1180.29,2024-05-14 16:58:05
468,354,pending,4815.04,2024-12-31 14:38:10
469,454,dispatched,6686.53,2024-04-06 10:07:43
470,435,dispatched,7795.61,2025-02-23 01:36:10
471,247,dispatched,1170.49,2025-02-27 21:02:29
472,136,pending,4549.19,2025-03-14 15:27:48
473,419,delivered,3671.71,2025-03-08 04:01:01
474,262,delivered,4214.61,2024-06-22 19:40:47
475,480,dispatched,7343.13,2024-08-24 18:36:54
476,148,pending,2623.39,2025-02-16 16:05:49
477,468,pending,798.11,2025-04-23 07:30:57
478,135,pending,4922.61,2024-10-01 11:05:36
479,206,pending,8574.02,2024-10-25 14:14:48
480,120,delivered,467.47,2025-01-18 02:25:52
481,180,pending,7053.13,2024-06-20 16:23:16
482,333,pending,2080.99,2024-06-15 18:43:31
483,261,dispatched,269.83,2024-12-06 10:22:17
484,346,dispatched,4770.26,2025-01-19 20:58:16
485,13,pending,8818.15,2025-04-04 10:34:44
486,493,pending,4715.53,2025-01-31 14:31:19
487,111,pending,6429.78,2024-07-15 16:07:58
488,303,delivered,7252.24,2025-02-04 08:00:26
489,202,pending,7096.87,2024-12-26 05:31:58
490,188,pending,1952.83,2024-07-20 21:13:07
491,371,dispatched,3402.03,2024-07-19 07:22:01
492,109,dispatched,4310.08,2024-08-26 23:32:44
493,422,dispatched,3956.9,2025-03-13 06:16:32
494,285,delivered,6213.24,2024-04-13 02:40:35
495,457,pending,9213.77,2024-07-07 01:44:39
496,306,delivered,6770.35,2024-04-19 17:00:34
497,245,delivered,6352.23,2024-12-07 00:45:33
498,28,pending,8334.74,2025-01-25 20:26:40
499,42,pending,1694.83,2025-02-07 19:27:38
500,491,dispatched,1843.74,2024-12-13 21:43:43
501,202,pending,7780.18,2025-03-03 09:28:11
502,73,dispatched,9192.7,2024-11-23 09:24:17
503,199,delivered,1729.54,2024-08-27 07:18:01
504,61,delivered,718.87,2024-08-25 20:15:25
505,24,dispatched,1495.15,2025-01-24 05:09:12
506,125,dispatched,8943.6,2025-03-03 13:22:24
507,195,dispatched,7787.55,2025-01-21 06:47:05
508,166,dispatched,7870.17,2025-03-01 00:13:22
509,48,dispatched,793.31,2024-09-04 19:49:45
510,169,pending,8111.67,2025-03-12 21:22:08
511,500,pending,918.65,2024-07-07 04:22:08
512,261,dispatched,5439.01,2024-04-14 10:55:34
513,482,dispatched,9889.25,2025-04-20 17:21:45
514,149,delivered,6805.85,2024-07-16 13:21:56
515,459,dispatched,2657.76,2025-01-02 03:18:02
516,253,dispatched,2694.85,2024-04-29 18:50:34
517,423,dispatched,2310.6,2024-05-19 08:09:42
518,170,pending,6652.19,2024-04-15 08:23:29
519,232,delivered,9443.62,2025-02-20 08:28:13
520,5,delivered,2892.11,2025-03-03 13:20:19
521,128,pending,629.07,2024-07-07 11:23:13
522,450,pending,8852.79,2024-07-01 10:33:35
523,480,dispatched,5033.78,2024-06-28 15:09:23
524,26,pending,4713.34,2025-02-18 14:19:19
525,79,pending,6212.39,2024-10-01 11:27:39
526,421,pending,3226.11,2025-02-09 13:34:30
527,194,delivered,5967.63,2025-02-04 02:56:17
528,67,dispatched,4562.79,2024-12-06 11:51:29
529,346,dispatched,6388.13,2025-04-20 02:06:05
530,101,delivered,5413.31,2025-02-14 01:30:16
531,103,pending,3346.35,2024-09-10 15:16:56
532,162,pending,3874.37,2024-09-14 15:45:54
533,75,pending,3396.95,2024-06-08 21:27:44
534,81,pending,7257.3,2024-06-01 06:20:29
535,5,dispatched,3780.07,2025-01-29 03:21:24
536,400,dispatched,3199.68,2025-03-28 00:56:48
537,38,delivered,4638.81,2024-05-13 13:09:09
