DeliveryID,OrderID,DeliveryPersonID,DeliveryStatus,EstimatedDeliveryTime,ActualDeliveryTime,CreatedAt
68,68,46,out for delivery,2024-04-27 21:28:28,2024-04-27 23:28:28,2024-04-27 19:28:28
69,69,44,delivered,2025-02-16 07:48:33,2025-02-16 08:48:33,2025-02-16 03:48:33
70,70,18,delivered,2024-10-26 05:13:38,2024-10-26 05:13:38,2024-10-26 00:13:38
71,71,21,assigned,2025-04-08 06:17:58,2025-04-08 07:17:58,2025-04-08 04:17:58
72,72,44,delivered,2025-01-09 20:25:24,2025-01-09 23:25:24,2025-01-09 16:25:24
73,73,37,out for delivery,2024-06-17 04:14:40,2024-06-17 07:14:40,2024-06-17 02:14:40
74,74,7,delivered,2024-05-22 12:25:08,2024-05-22 14:25:08,2024-05-22 06:25:08
75,75,26,out for delivery,2024-08-07 20:50:19,2024-08-07 22:50:19,2024-08-07 17:50:19
76,76,1,assigned,2024-05-17 08:14:25,2024-05-17 09:14:25,2024-05-17 06:14:25
77,77,45,assigned,2025-04-22 01:04:03,2025-04-22 02:04:03,2025-04-21 19:04:03
78,78,14,delivered,2024-12-05 13:52:12,2024-12-05 16:52:12,2024-12-05 10:52:12
79,79,28,assigned,2024-10-15 07:10:39,2024-10-15 10:10:39,2024-10-15 02:10:39
80,80,7,delivered,2024-05-22 15:24:35,2024-05-22 17:24:35,2024-05-22 12:24:35
81,81,40,assigned,2024-11-19 10:36:17,2024-11-19 10:36:17,2024-11-19 07:36:17
82,82,24,assigned,2024-08-01 15:35:26,2024-08-01 17:35:26,2024-08-01 11:35:26
83,83,25,out for delivery,2025-01-24 11:53:52,2025-01-24 12:53:52,2025-01-24 09:53:52
84,84,50,delivered,2025-01-02 08:31:51,2025-01-02 11:31:51,2025-01-02 03:31:51
85,85,43,assigned,2024-10-05 06:23:22,2024-10-05 08:23:22,2024-10-05 03:23:22
86,86,16,assigned,2025-02-23 09:37:31,2025-02-23 09:37:31,2025-02-23 06:37:31
87,87,13,assigned,2025-04-14 02:53:54,2025-04-14 05:53:54,2025-04-13 20:53:54
88,88,18,assigned,2024-10-11 03:04:19,2024-10-11 03:04:19,2024-10-10 23:04:19
89,89,20,assigned,2024-04-13 21:28:34,2024-04-13 23:28:34,2024-04-13 16:28:34
90,90,9,delivered,2024-08-27 18:13:58,2024-08-27 20:13:58,2024-08-27 13:13:58
91,91,26,out for delivery,2024-05-28 00:38:39,2024-05-28 03:38:39,2024-05-27 22:38:39
92,92,39,out for delivery,2025-01-06 20:57:05,2025-01-06 23:57:05,2025-01-06 15:57:05
93,93,28,delivered,2024-05-13 19:11:38,2024-05-13 21:11:38,2024-05-13 15:11:38
94,94,4,delivered,2025-01-06 04:18:20,2025-01-06 06:18:20,2025-01-05 23:18:20
95,95,25,out for delivery,2025-02-15 17:13:26,2025-02-15 18:13:26,2025-02-15 12:13:26
96,96,9,out for delivery,2024-06-26 09:29:03,2024-06-26 09:29:03,2024-06-26 05:29:03
97,97,50,delivered,2024-07-11 11:51:28,2024-07-11 12:51:28,2024-07-11 06:51:28
98,98,11,out for delivery,2025-02-26 11:24:58,2025-02-26 12:24:58,2025-02-26 06:24:58
99,99,40,out for delivery,2025-01-06 08:16:38,2025-01-06 08:16:38,2025-01-06 02:16:38
100,100,29,delivered,2025-03-14 10:00:25,2025-03-14 12:00:25,2025-03-14 05:00:25
101,101,30,assigned,2024-09-01 20:43:38,2024-09-01 21:43:38,2024-09-01 14:43:38
102,102,25,delivered,2024-06-17 00:59:41,2024-06-17 01:59:41,2024-06-16 18:59:41
103,103,37,out for delivery,2024-12-11 06:00:23,2024-12-11 09:00:23,2024-12-11 01:00:23
104,104,42,assigned,2024-07-27 22:54:49,2024-07-28 00:54:49,2024-07-27 20:54:49
105,105,22,out for delivery,2024-10-14 04:42:47,2024-10-14 04:42:47,2024-10-13 23:42:47
106,106,35,assigned,2024-09-11 09:57:38,2024-09-11 10:57:38,2024-09-11 07:57:38
107,107,18,out for delivery,2025-01-26 22:06:47,2025-01-27 00:06:47,2025-01-26 20:06:47
108,108,4,delivered,2024-10-10 11:33:16,2024-10-10 11:33:16,2024-10-10 05:33:16
109,109,3,delivered,2024-07-07 05:02:14,2024-07-07 08:02:14,2024-07-07 02:02:14
110,110,32,assigned,2024-11-26 08:11:08,2024-11-26 11:11:08,2024-11-26 05:11:08
111,111,47,delivered,2024-08-16 02:53:35,2024-08-16 05:53:35,2024-08-15 21:53:35
112,112,42,delivered,2025-04-10 07:03:38,2025-04-10 08:03:38,2025-04-10 05:03:38
113,113,50,assigned,2024-09-02 12:40:24,2024-09-02 13:40:24,2024-09-02 06:40:24
114,114,31,assigned,2025-04-18 10:34:07,2025-04-18 13:34:07,2025-04-18 07:34:07
115,115,17,out for delivery,2024-08-10 06:46:08,2024-08-10 07:46:08,2024-08-10 00:46:08
116,116,35,out for delivery,2024-07-12 10:54:01,2024-07-12 10:54:01,2024-07-12 08:54:01
117,117,34,delivered,2025-01-12 08:48:31,2025-01-12 08:48:31,2025-01-12 04:48:31
118,118,5,delivered,2024-04-05 15:17:01,2024-04-05 17:17:01,2024-04-05 10:17:01
119,119,6,out for delivery,2024-10-23 04:37:10,2024-10-23 04:37:10,2024-10-22 22:37:10
120,120,5,out for delivery,2024-05-15 13:34:37,2024-05-15 14:34:37,2024-05-15 10:34:37
121,121,24,out for delivery,2024-04-27 09:32:56,2024-04-27 09:32:56,2024-04-27 05:32:56
122,122,28,out for delivery,2024-05-22 08:41:34,2024-05-22 11:41:34,2024-05-22 04:41:34
123,123,27,out for delivery,2024-11-03 04:55:31,2024-11-03 06:55:31,2024-11-03 00:55:31
124,124,11,delivered,2024-04-25 20:13:41,2024-04-25 20:13:41,2024-04-25 16:13:41
125,125,12,delivered,2024-07-26 15:48:51,2024-07-26 18:48:51,2024-07-26 11:48:51
126,126,48,delivered,2024-04-05 23:23:06,2024-04-06 02:23:06,2024-04-05 21:23:06
127,127,24,delivered,2025-03-01 09:57:44,2025-03-01 11:57:44,2025-03-01 07:57:44
128,128,2,delivered,2024-04-09 03:23:03,2024-04-09 06:23:03,2024-04-08 23:23:03
129,129,11,out for delivery,2024-04-04 12:45:29,2024-04-04 15:45:29,2024-04-04 09:45:29
130,130,25,out for delivery,2024-09-17 14:14:04,2024-09-17 17:14:04,2024-09-17 12:14:04
131,131,6,delivered,2024-07-24 01:26:39,2024-07-24 03:26:39,2024-07-23 21:26:39
132,132,19,assigned,2024-11-18 14:13:45,2024-11-18 16:13:45,2024-11-18 12:13:45
133,133,39,delivered,2024-05-18 03:24:47,2024-05-18 06:24:47,2024-05-18 01:24:47
134,134,44,out for delivery,2024-12-24 16:47:57,2024-12-24 19:47:57,2024-12-24 12:47:57
135,135,50,out for delivery,2024-12-01 16:53:30,2024-12-01 17:53:30,2024-12-01 14:53:30
136,136,13,assigned,2024-06-18 09:49:33,2024-06-18 10:49:33,2024-06-18 03:49:33
137,137,15,delivered,2024-12-28 05:59:11,2024-12-28 05:59:11,2024-12-27 23:59:11
138,138,37,delivered,2025-02-15 07:21:00,2025-02-15 09:21:00,2025-02-15 05:21:00
139,139,13,assigned,2024-04-02 05:04:54,2024-04-02 06:04:54,2024-04-01 23:04:54
140,140,49,assigned,2025-04-26 09:47:38,2025-04-26 11:47:38,2025-04-26 04:47:38
141,141,25,out for delivery,2025-03-04 02:51:32,2025-03-04 02:51:32,2025-03-03 21:51:32
142,142,38,out for delivery,2024-05-23 12:55:19,2024-05-23 12:55:19,2024-05-23 08:55:19
143,143,33,delivered,2024-09-04 18:18:07,2024-09-04 19:18:07,2024-09-04 14:18:07
144,144,30,out for delivery,2024-08-07 19:34:35,2024-08-07 21:34:35,2024-08-07 16:34:35
145,145,27,out for delivery,2024-08-27 21:09:29,2024-08-27 23:09:29,2024-08-27 17:09:29
146,146,2,assigned,2025-03-03 19:54:34,2025-03-03 22:54:34,2025-03-03 15:54:34
147,147,33,delivered,2025-01-15 20:11:25,2025-01-15 22:11:25,2025-01-15 18:11:25
148,148,47,out for delivery,2024-04-25 03:20:04,2024-04-25 06:20:04,2024-04-25 01:20:04
149,149,45,delivered,2024-11-09 15:32:59,2024-11-09 17:32:59,2024-11-09 11:32:59
150,150,24,out for delivery,2025-04-01 19:38:19,2025-04-01 20:38:19,2025-04-01 17:38:19
151,151,10,out for delivery,2025-01-31 10:02:56,2025-01-31 11:02:56,2025-01-31 06:02:56
152,152,15,assigned,2025-04-21 03:41:02,2025-04-21 06:41:02,2025-04-21 00:41:02
153,153,5,delivered,2024-08-16 09:37:21,2024-08-16 10:37:21,2024-08-16 03:37:21
154,154,26,out for delivery,2024-04-30 03:01:02,2024-04-30 05:01:02,2024-04-30 00:01:02
155,155,49,assigned,2024-07-17 10:21:18,2024-07-17 10:21:18,2024-07-17 06:21:18
156,156,19,delivered,2025-04-08 22:24:12,2025-04-08 22:24:12,2025-04-08 19:24:12
157,157,46,out for delivery,2025-01-11 19:51:58,2025-01-11 19:51:58,2025-01-11 13:51:58
158,158,19,assigned,2024-04-30 02:18:34,2024-04-30 03:18:34,2024-04-29 22:18:34
159,159,11,delivered,2024-08-28 13:30:12,2024-08-28 15:30:12,2024-08-28 11:30:12
160,160,24,delivered,2025-04-25 15:07:58,2025-04-25 16:07:58,2025-04-25 09:07:58
161,161,10,assigned,2025-03-30 21:00:23,2025-03-30 22:00:23,2025-03-30 17:00:23
162,162,39,assigned,2025-01-21 08:29:08,2025-01-21 09:29:08,2025-01-21 03:29:08
163,163,18,out for delivery,2025-03-21 04:52:05,2025-03-21 04:52:05,2025-03-21 02:52:05
164,164,31,delivered,2024-12-27 20:56:32,2024-12-27 20:56:32,2024-12-27 15:56:32
165,165,41,out for delivery,2024-07-18 06:42:45,2024-07-18 09:42:45,2024-07-18 01:42:45
166,166,21,delivered,2024-04-10 09:45:28,2024-04-10 10:45:28,2024-04-10 07:45:28
167,167,9,assigned,2024-04-17 23:13:33,2024-04-17 23:13:33,2024-04-17 17:13:33
168,168,27,delivered,2025-04-12 09:03:31,2025-04-12 10:03:31,2025-04-12 06:03:31
169,169,23,assigned,2025-01-07 08:41:46,2025-01-07 08:41:46,2025-01-07 06:41:46
170,170,47,out for delivery,2024-10-13 19:42:27,2024-10-13 21:42:27,2024-10-13 17:42:27
171,171,27,delivered,2024-09-04 07:11:05,2024-09-04 08:11:05,2024-09-04 02:11:05
172,172,6,assigned,2025-01-18 23:28:16,2025-01-19 02:28:16,2025-01-18 18:28:16
173,173,23,assigned,2024-11-09 14:06:52,2024-11-09 16:06:52,2024-11-09 12:06:52
174,174,48,delivered,2024-06-19 20:08:58,2024-06-19 21:08:58,2024-06-19 15:08:58
175,175,43,out for delivery,2024-10-09 05:08:10,2024-10-09 07:08:10,2024-10-09 02:08:10
176,176,13,assigned,2024-07-05 16:51:33,2024-07-05 16:51:33,2024-07-05 14:51:33
177,177,47,out for delivery,2024-06-25 00:33:09,2024-06-25 01:33:09,2024-06-24 18:33:09
178,178,18,delivered,2025-03-12 09:50:35,2025-03-12 11:50:35,2025-03-12 06:50:35
179,179,12,assigned,2025-02-01 02:43:42,2025-02-01 02:43:42,2025-01-31 21:43:42
180,180,4,delivered,2024-12-26 07:47:31,2024-12-26 09:47:31,2024-12-26 04:47:31
181,181,28,assigned,2024-09-14 19:47:53,2024-09-14 22:47:53,2024-09-14 14:47:53
182,182,22,assigned,2024-08-31 12:36:14,2024-08-31 15:36:14,2024-08-31 09:36:14
183,183,12,assigned,2024-04-29 15:43:04,2024-04-29 17:43:04,2024-04-29 10:43:04
184,184,24,assigned,2024-08-03 18:07:41,2024-08-03 19:07:41,2024-08-03 16:07:41
185,185,22,assigned,2024-10-10 17:40:46,2024-10-10 20:40:46,2024-10-10 14:40:46
186,186,31,assigned,2024-06-26 19:22:24,2024-06-26 21:22:24,2024-06-26 15:22:24
187,187,20,delivered,2024-04-30 05:15:44,2024-04-30 06:15:44,2024-04-30 03:15:44
188,188,49,assigned,2025-04-24 06:31:50,2025-04-24 08:31:50,2025-04-24 00:31:50
189,189,28,out for delivery,2025-01-14 20:18:13,2025-01-14 23:18:13,2025-01-14 16:18:13
190,190,10,assigned,2024-07-10 21:58:38,2024-07-10 23:58:38,2024-07-10 19:58:38
191,191,2,out for delivery,2025-02-07 15:52:36,2025-02-07 17:52:36,2025-02-07 09:52:36
192,192,35,out for delivery,2025-01-14 17:37:57,2025-01-14 18:37:57,2025-01-14 13:37:57
193,193,4,delivered,2024-11-12 09:41:50,2024-11-12 11:41:50,2024-11-12 07:41:50
194,194,25,out for delivery,2024-08-28 00:27:01,2024-08-28 00:27:01,2024-08-27 22:27:01
195,195,35,out for delivery,2024-09-25 02:50:20,2024-09-25 03:50:20,2024-09-24 20:50:20
196,196,15,out for delivery,2024-10-29 18:37:08,2024-10-29 21:37:08,2024-10-29 16:37:08
197,197,27,assigned,2025-04-13 23:24:06,2025-04-13 23:24:06,2025-04-13 21:24:06
198,198,29,out for delivery,2024-09-01 02:47:25,2024-09-01 05:47:25,2024-08-31 22:47:25
199,199,23,assigned,2024-07-02 17:57:50,2024-07-02 18:57:50,2024-07-02 14:57:50
200,200,5,assigned,2024-09-20 21:57:46,2024-09-21 00:57:46,2024-09-20 16:57:46
201,201,48,delivered,2024-09-30 19:20:48,2024-09-30 21:20:48,2024-09-30 16:20:48
202,202,49,delivered,2025-01-22 05:06:18,2025-01-22 07:06:18,2025-01-22 03:06:18
203,203,37,delivered,2024-12-28 01:45:55,2024-12-28 01:45:55,2024-12-27 21:45:55
204,204,6,out for delivery,2025-01-13 02:05:15,2025-01-13 03:05:15,2025-01-12 21:05:15
205,205,37,out for delivery,2024-11-20 00:14:34,2024-11-20 01:14:34,2024-11-19 20:14:34
206,206,17,assigned,2024-04-07 06:49:23,2024-04-07 09:49:23,2024-04-07 01:49:23
207,207,5,delivered,2024-09-01 21:43:13,2024-09-01 22:43:13,2024-09-01 18:43:13
208,208,41,assigned,2025-01-11 06:57:38,2025-01-11 08:57:38,2025-01-11 04:57:38
209,209,30,out for delivery,2024-08-02 04:29:38,2024-08-02 06:29:38,2024-08-02 02:29:38
210,210,3,out for delivery,2024-11-08 00:29:11,2024-11-08 03:29:11,2024-11-07 21:29:11
211,211,23,assigned,2024-12-03 12:09:37,2024-12-03 15:09:37,2024-12-03 10:09:37
212,212,8,assigned,2024-05-16 12:15:25,2024-05-16 15:15:25,2024-05-16 07:15:25
213,213,50,assigned,2024-06-25 00:15:55,2024-06-25 01:15:55,2024-06-24 19:15:55
214,214,37,out for delivery,2024-08-23 20:40:48,2024-08-23 22:40:48,2024-08-23 18:40:48
215,215,30,out for delivery,2024-11-03 13:57:05,2024-11-03 16:57:05,2024-11-03 08:57:05
216,216,9,out for delivery,2024-12-22 17:09:38,2024-12-22 19:09:38,2024-12-22 14:09:38
217,217,26,assigned,2025-02-22 20:22:03,2025-02-22 21:22:03,2025-02-22 15:22:03
218,218,38,assigned,2024-11-08 01:06:19,2024-11-08 04:06:19,2024-11-07 21:06:19
219,219,20,assigned,2024-11-18 11:10:55,2024-11-18 14:10:55,2024-11-18 05:10:55
220,220,26,assigned,2025-03-15 05:56:19,2025-03-15 08:56:19,2025-03-15 03:56:19
221,221,42,out for delivery,2025-03-20 23:02:13,2025-03-21 02:02:13,2025-03-20 17:02:13
222,222,49,assigned,2025-01-19 04:32:56,2025-01-19 04:32:56,2025-01-19 00:32:56
223,223,41,out for delivery,2024-08-24 05:37:34,2024-08-24 06:37:34,2024-08-23 23:37:34
224,224,12,assigned,2024-08-29 06:22:15,2024-08-29 06:22:15,2024-08-29 01:22:15
225,225,18,out for delivery,2024-04-22 16:02:33,2024-04-22 17:02:33,2024-04-22 13:02:33
226,226,24,assigned,2024-10-14 21:03:44,2024-10-15 00:03:44,2024-10-14 17:03:44
227,227,1,out for delivery,2025-01-20 07:16:26,2025-01-20 09:16:26,2025-01-20 03:16:26
228,228,22,out for delivery,2025-03-13 09:10:07,2025-03-13 10:10:07,2025-03-13 05:10:07
229,229,7,delivered,2024-05-10 08:46:10,2024-05-10 10:46:10,2024-05-10 03:46:10
230,230,40,delivered,2024-10-04 12:57:15,2024-10-04 15:57:15,2024-10-04 08:57:15
231,231,21,delivered,2024-12-10 04:57:10,2024-12-10 04:57:10,2024-12-09 22:57:10
232,232,28,out for delivery,2024-10-19 21:23:24,2024-10-19 23:23:24,2024-10-19 16:23:24
233,233,5,delivered,2025-04-04 17:38:13,2025-04-04 17:38:13,2025-04-04 11:38:13
234,234,42,delivered,2024-04-15 09:10:46,2024-04-15 10:10:46,2024-04-15 06:10:46
235,235,9,assigned,2025-02-15 01:43:24,2025-02-15 03:43:24,2025-02-14 22:43:24
236,236,7,out for delivery,2024-04-12 08:33:15,2024-04-12 10:33:15,2024-04-12 03:33:15
237,237,5,out for delivery,2024-09-30 15:16:23,2024-09-30 17:16:23,2024-09-30 09:16:23
238,238,35,out for delivery,2025-04-22 02:08:09,2025-04-22 02:08:09,2025-04-21 21:08:09
239,239,38,delivered,2024-06-19 13:39:36,2024-06-19 15:39:36,2024-06-19 09:39:36
240,240,40,delivered,2024-12-26 02:56:39,2024-12-26 03:56:39,2024-12-25 20:56:39
241,241,40,delivered,2024-12-08 08:30:20,2024-12-08 10:30:20,2024-12-08 05:30:20
242,242,2,out for delivery,2024-10-14 06:00:58,2024-10-14 06:00:58,2024-10-14 00:00:58
243,243,13,assigned,2024-04-19 03:42:33,2024-04-19 05:42:33,2024-04-18 21:42:33
244,244,48,assigned,2024-10-26 00:00:13,2024-10-26 00:00:13,2024-10-25 19:00:13
245,245,16,delivered,2024-08-01 11:42:13,2024-08-01 12:42:13,2024-08-01 07:42:13
246,246,17,delivered,2024-11-01 11:41:49,2024-11-01 13:41:49,2024-11-01 06:41:49
247,247,37,delivered,2024-08-08 07:43:40,2024-08-08 09:43:40,2024-08-08 05:43:40
248,248,24,delivered,2025-04-12 18:28:01,2025-04-12 18:28:01,2025-04-12 15:28:01
249,249,29,delivered,2024-06-16 16:14:08,2024-06-16 18:14:08,2024-06-16 13:14:08
250,250,29,delivered,2025-01-21 09:34:50,2025-01-21 11:34:50,2025-01-21 03:34:50
251,251,7,delivered,2024-06-25 15:51:10,2024-06-25 16:51:10,2024-06-25 10:51:10
252,252,33,out for delivery,2025-04-10 02:12:59,2025-04-10 02:12:59,2025-04-09 20:12:59
253,253,47,assigned,2024-10-25 16:23:24,2024-10-25 16:23:24,2024-10-25 12:23:24
254,254,3,assigned,2024-08-27 14:53:23,2024-08-27 17:53:23,2024-08-27 10:53:23
255,255,48,out for delivery,2025-01-21 16:17:11,2025-01-21 19:17:11,2025-01-21 14:17:11
256,256,1,assigned,2024-04-02 01:49:06,2024-04-02 02:49:06,2024-04-01 19:49:06
257,257,25,assigned,2024-07-10 18:38:04,2024-07-10 19:38:04,2024-07-10 12:38:04
258,258,15,out for delivery,2024-07-19 13:11:07,2024-07-19 13:11:07,2024-07-19 09:11:07
259,259,8,assigned,2024-04-24 20:04:47,2024-04-24 22:04:47,2024-04-24 18:04:47
260,260,15,out for delivery,2025-03-23 03:45:38,2025-03-23 03:45:38,2025-03-22 23:45:38
261,261,17,delivered,2025-03-27 14:45:16,2025-03-27 16:45:16,2025-03-27 09:45:16
262,262,17,delivered,2024-08-27 10:55:42,2024-08-27 13:55:42,2024-08-27 06:55:42
263,263,15,out for delivery,2024-10-01 15:44:38,2024-10-01 17:44:38,2024-10-01 11:44:38
264,264,40,out for delivery,2025-02-20 09:16:06,2025-02-20 09:16:06,2025-02-20 05:16:06
265,265,47,delivered,2024-09-12 14:04:46,2024-09-12 15:04:46,2024-09-12 10:04:46
266,266,24,out for delivery,2024-05-11 14:55:48,2024-05-11 17:55:48,2024-05-11 08:55:48
267,267,19,out for delivery,2024-07-03 06:31:47,2024-07-03 06:31:47,2024-07-03 04:31:47
268,268,14,assigned,2024-08-25 10:47:15,2024-08-25 11:47:15,2024-08-25 04:47:15
269,269,27,delivered,2024-05-18 11:42:24,2024-05-18 11:42:24,2024-05-18 09:42:24
270,270,24,out for delivery,2024-08-01 04:59:41,2024-08-01 05:59:41,2024-07-31 23:59:41
271,271,20,out for delivery,2024-04-07 14:03:53,2024-04-07 16:03:53,2024-04-07 11:03:53
272,272,6,delivered,2025-03-03 16:44:34,2025-03-03 16:44:34,2025-03-03 14:44:34
273,273,32,delivered,2024-11-18 07:28:20,2024-11-18 08:28:20,2024-11-18 05:28:20
274,274,49,delivered,2025-02-05 11:50:56,2025-02-05 13:50:56,2025-02-05 05:50:56
275,275,26,assigned,2024-12-05 07:17:08,2024-12-05 07:17:08,2024-12-05 03:17:08
276,276,28,delivered,2024-11-29 13:51:41,2024-11-29 13:51:41,2024-11-29 08:51:41
277,277,40,delivered,2024-11-24 14:18:22,2024-11-24 16:18:22,2024-11-24 10:18:22
278,278,22,out for delivery,2025-02-17 13:12:19,2025-02-17 16:12:19,2025-02-17 08:12:19
279,279,38,delivered,2024-08-19 22:46:44,2024-08-20 00:46:44,2024-08-19 18:46:44
